,description,name,price,img,size,color,composition,care,primary_thumbnail
0,긴소매 니트 재킷. 같은 소재의 리본 아플리케 디테일. 모델 신장: 177cm,벨티드 크롭 재킷,"49,000 원","['//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_1_1_1.jpg?ts=1582189877093', '//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_2_1_1.jpg?ts=1582189901636', '//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_2_2_1.jpg?ts=1582189893644', '//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_2_3_1.jpg?ts=1582189902079', '//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_2_4_1.jpg?ts=1582189877023', '//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_2_5_1.jpg?ts=1582189877370', '//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_2_6_1.jpg?ts=1582189884430', '//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_2_7_1.jpg?ts=1582189894637', '//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/w/560/2142137752_6_1_1.jpg?ts=1582189876937']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",라이트 샌드,"[{'겉감': '89% 아크릴, 6% 나일론, 5% 폴리에스터'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '저온으로 건조기 사용 가능']",//static.zara.net/photos///2020/V/0/1/p/2142/137/752/2/cb-0-0-4176-3072-Center/w/1173/2142137752_2_5_1.jpg?ts=1582275560431
1,넓은 어깨끈이 달린 브이넥 탑. 모델 신장: 177cm,스트럭처 니트 탑,"39,000 원","['//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/560/6254016712_1_1_1.jpg?ts=1582191308383', '//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/560/6254016712_2_1_1.jpg?ts=1582191330180', '//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/560/6254016712_2_2_1.jpg?ts=1582191341556', '//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/560/6254016712_2_3_1.jpg?ts=1582191357449', '//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/560/6254016712_2_4_1.jpg?ts=1582191321092', '//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/560/6254016712_2_5_1.jpg?ts=1582191314835', '//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/560/6254016712_2_6_1.jpg?ts=1582191264971', '//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/560/6254016712_6_1_1.jpg?ts=1582191266015']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",크림,"[{'겉감': '62% 면, 38% 아크릴'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '건조기 사용 금지', '빨래주머니를 사용하십시오']",//static.zara.net/photos///2020/V/0/1/p/6254/016/712/2/w/581/6254016712_1_1_1.jpg?ts=1582191308383
2,넓은 커프스 마감 긴소매 브이넥 재킷. 앞면 버튼 여밈. 모델 신장: 177cm,크롭 스트럭처 니트 재킷,"49,000 원","['//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/560/6254015712_1_1_1.jpg?ts=1582189885690', '//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/560/6254015712_2_1_1.jpg?ts=1582189925130', '//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/560/6254015712_2_2_1.jpg?ts=1582189914269', '//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/560/6254015712_2_3_1.jpg?ts=1582189910814', '//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/560/6254015712_2_4_1.jpg?ts=1582189917832', '//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/560/6254015712_2_5_1.jpg?ts=1582189911335', '//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/560/6254015712_2_6_1.jpg?ts=1582189926200', '//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/560/6254015712_6_1_1.jpg?ts=1582189932389']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",크림,"[{'겉감': '62% 면, 38% 아크릴'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '건조기 사용 금지', '빨래주머니를 사용하십시오']",//static.zara.net/photos///2020/V/0/1/p/6254/015/712/2/w/581/6254015712_2_1_1.jpg?ts=1582189925130
3,긴소매 가디건. 리브드 마감. 모델 신장: 177cm,니트 롱 가디건,"79,000 원","['//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/w/560/5536030712_1_1_1.jpg?ts=1582132582772', '//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/w/560/5536030712_2_1_1.jpg?ts=1582132575363', '//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/w/560/5536030712_2_2_1.jpg?ts=1582132576761', '//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/w/560/5536030712_2_3_1.jpg?ts=1582132612158', '//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/w/560/5536030712_2_4_1.jpg?ts=1582132614617', '//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/w/560/5536030712_2_5_1.jpg?ts=1582132614921', '//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/w/560/5536030712_2_6_1.jpg?ts=1582132608855', '//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/w/560/5536030712_6_1_1.jpg?ts=1582132607417']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",크림,"[{'겉감': '47% 비스코스, 27% 나일론, 26% 폴리에스터'}]","['최대 30 ºC로 손세탁', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지']",//static.zara.net/photos///2020/V/0/1/p/5536/030/712/2/cb-0-0-4176-3072-Center/w/1173/5536030712_2_2_1.jpg?ts=1582275338054
4,어깨끈이 달린 스트레이트 네크라인 디자인의 짧은 니트 탑. 모델 신장: 177cm,리브드 크롭트 탑,"29,000 원","['//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_1_1_1.jpg?ts=1582132579845', '//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_2_1_1.jpg?ts=1582195399975', '//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_2_2_1.jpg?ts=1582195375262', '//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_2_3_1.jpg?ts=1582195385361', '//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_2_4_1.jpg?ts=1582195392135', '//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_2_5_1.jpg?ts=1582195343459', '//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_2_6_1.jpg?ts=1582132595022', '//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_2_7_1.jpg?ts=1582132600454', '//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/560/5536013712_6_1_1.jpg?ts=1582132605291']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",크림,"[{'겉감': '46% 비스코스, 27% 폴리에스터, 27% 나일론'}]","['최대 30 ºC로 손세탁', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지']",//static.zara.net/photos///2020/V/0/1/p/5536/013/712/2/w/581/5536013712_2_5_1.jpg?ts=1582195343459
5,신축성 있는 허리 디자인의 하이웨이스트 미디 스커트. 모델 신장: 177cm,리브드 니트 스커트,"59,000 원","['//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/560/5536014712_1_1_1.jpg?ts=1582132576447', '//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/560/5536014712_2_1_1.jpg?ts=1582132585340', '//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/560/5536014712_2_2_1.jpg?ts=1582132599027', '//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/560/5536014712_2_3_1.jpg?ts=1582132600366', '//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/560/5536014712_2_4_1.jpg?ts=1582132590577', '//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/560/5536014712_2_5_1.jpg?ts=1582132590719', '//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/560/5536014712_2_6_1.jpg?ts=1582132589973', '//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/560/5536014712_6_1_1.jpg?ts=1582132601711']","['S (KR 25) ', 'M (KR 26) ', 'L (KR 27) ']",크림,"[{'겉감': '46% 비스코스, 27% 폴리에스터, 27% 나일론'}]","['최대 30 ºC로 손세탁', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지']",//static.zara.net/photos///2020/V/0/1/p/5536/014/712/2/w/581/5536014712_1_1_1.jpg?ts=1582132576447
6,라운드넥 반소매 원피스. 배색된 시퀸 아플리케가 매치됨. 내부 안감. 모델 신장: 177cm,리미티드 에디션 자수 원피스,"189,000 원","['//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/w/560/3185001330_1_1_1.jpg?ts=1582131373333', '//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/w/560/3185001330_2_1_1.jpg?ts=1582131454823', '//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/w/560/3185001330_2_2_1.jpg?ts=1582131469660', '//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/w/560/3185001330_2_3_1.jpg?ts=1582131479917', '//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/w/560/3185001330_2_4_1.jpg?ts=1582131439610', '//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/w/560/3185001330_2_5_1.jpg?ts=1582131422429', '//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/w/560/3185001330_2_6_1.jpg?ts=1582131429282', '//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/w/560/3185001330_6_1_1.jpg?ts=1582131399981']","['XS-S ', 'M-L ']",멀티컬러,"[{'겉감': '주요소재100% 폴리아미드'}, {'안감': '자수품62% 비스코스,5% 폴리에스터,33% 금속처리된 섬유'}, {'* 입체장식 제외': ''}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '광물성 스피릿 드라이 클리닝', '건조기 사용 금지']",//static.zara.net/photos///2020/V/0/1/p/3185/001/330/2/cb-0-0-4176-3072-Center/w/1173/3185001330_2_4_1.jpg?ts=1582277584522
7,배색된 라펠이 달린 라운드넥 스웨터. 커프스 마감 긴소매 디자인. 앞면 리본 아플리케 디테일. 버튼으로 여미는 뒷면 트임. 모델 신장: 177cm,콘트라스팅 리브드 스웨터,"49,000 원","['//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/560/4369004800_1_1_1.jpg?ts=1582217788828', '//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/560/4369004800_2_1_1.jpg?ts=1582217798909', '//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/560/4369004800_2_2_1.jpg?ts=1582217774151', '//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/560/4369004800_2_3_1.jpg?ts=1582217776132', '//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/560/4369004800_2_4_1.jpg?ts=1582217775471', '//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/560/4369004800_2_5_1.jpg?ts=1582217795491', '//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/560/4369004800_2_6_1.jpg?ts=1582217777692', '//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/560/4369004800_6_1_1.jpg?ts=1582290011276']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",블랙,"[{'겉감': '63% 비스코스, 37% 폴리아미드'}, {'겉감': '63% 비스코스, 37% 폴리아미드'}, {'caution': '* 장식처리 제외'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '건조기 사용 금지', '평평한 바닥에 놓고 말리십시오']",//static.zara.net/photos///2020/V/0/1/p/4369/004/800/3/w/581/4369004800_2_3_1.jpg?ts=1582217776132
8,라운드넥 세미 시스루 탑. 벌룬 스타일 어깨의 긴소매 디자인. 크로셰 마감. 톤온톤 비즈 아플리케가 매치됨. 모델 신장: 177cm,도티드 스위스 콤비 탑,"79,000 원","['//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/560/9853101712_1_1_1.jpg?ts=1582217576790', '//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/560/9853101712_2_1_1.jpg?ts=1582217693062', '//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/560/9853101712_2_2_1.jpg?ts=1582217702976', '//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/560/9853101712_2_3_1.jpg?ts=1582217696175', '//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/560/9853101712_2_4_1.jpg?ts=1582217659123', '//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/560/9853101712_2_5_1.jpg?ts=1582217680426', '//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/560/9853101712_2_6_1.jpg?ts=1582217670446', '//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/560/9853101712_6_1_1.jpg?ts=1582531212251']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",크림,"[{'겉감': '주요소재100% 폴리에스터'}, {'* 장식처리 제외* 입체장식 제외': '디테일84% 면,16% 폴리에스터'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/0/1/p/9853/101/712/2/w/581/9853101712_1_1_1.jpg?ts=1582217576790
9,넓은 반소매 라운드넥 탑. 모델 신장: 177cm,볼륨 슬리브 탑,"35,000 원","['//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_1_1_1.jpg?ts=1582212316059', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_2_1_1.jpg?ts=1582212515831', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_2_2_1.jpg?ts=1582212549529', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_2_3_1.jpg?ts=1582212522348', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_2_4_1.jpg?ts=1582212547591', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_2_5_1.jpg?ts=1582212547606', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_2_6_1.jpg?ts=1582212542488', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_2_7_1.jpg?ts=1582212540534', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_2_8_1.jpg?ts=1582212525130', '//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/560/3519002800_6_1_1.jpg?ts=1582276813831']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ']",블랙,"[{'겉감': '73% 비스코스, 27% 폴리아미드'}]","['최대 40 ºC로 기계 세탁. 단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지']",//static.zara.net/photos///2020/V/0/1/p/3519/002/800/2/w/581/3519002800_1_1_1.jpg?ts=1582212316059
