,description,name,price,img,size,color,composition,care
0,블랙과 다크 핑크 컬러 중 선택이 가능한 가죽 힐 샌들. 가죽 소재 외피. 발가락 고정을 위한 2개의 앞부분 파인 스트랩 디테일. 이중 처리된 미디엄 힐. 스퀘어 토 마감. 발목에서 끈으로 매듭을 지어 여밈. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 8cmJOIN LIFE 컬렉션.Care for planet: 가장 지속 가능한 방법으로 처리된 가죽.이러한 제품은 재생 에너지와 물 소모를 감소하는 기술을 사용하는 Leather Working Group 인증을 받은 가죽으로 제조됩니다. ,스퀘어 토 레더 힐 샌들,"99,000 원","['//static.zara.net/photos///2020/V/1/1/p/2354/510/062/3/w/560/2354510062_1_1_1.jpg?ts=1582132460467', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/3/w/560/2354510062_2_1_1.jpg?ts=1582132479991', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/3/w/560/2354510062_2_2_1.jpg?ts=1582132490565', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/3/w/560/2354510062_2_3_1.jpg?ts=1582132480439', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/3/w/560/2354510062_2_4_1.jpg?ts=1582132477633', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/3/w/560/2354510062_2_15_1.jpg?ts=1582556154422', '//static.zara.net/photos///2018/V/M/1/p/1111/000/000/2/w/560/1111000000_2_97_1.jpg?ts=1570204599702']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",다크 핑크,"[{'겉감': '100% 염소가죽'}, {'밑창': '100% 고무'}, {'안창': '100% 염소가죽'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
1,블랙과 다크 핑크 컬러 중 선택이 가능한 가죽 힐 샌들. 가죽 소재 외피. 발가락 고정을 위한 2개의 앞부분 파인 스트랩 디테일. 이중 처리된 미디엄 힐. 스퀘어 토 마감. 발목에서 끈으로 매듭을 지어 여밈. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 8cmJOIN LIFE 컬렉션.Care for planet: 가장 지속 가능한 방법으로 처리된 가죽.이러한 제품은 재생 에너지와 물 소모를 감소하는 기술을 사용하는 Leather Working Group 인증을 받은 가죽으로 제조됩니다. ,스퀘어 토 레더 힐 샌들,"99,000 원","['//static.zara.net/photos///2020/V/1/1/p/2354/510/062/2/w/560/2354510062_1_1_1.jpg?ts=1582132460031', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/2/w/560/2354510062_2_1_1.jpg?ts=1582132470687', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/2/w/560/2354510062_2_2_1.jpg?ts=1582132485018', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/2/w/560/2354510062_2_3_1.jpg?ts=1582132482714', '//static.zara.net/photos///2020/V/1/1/p/2354/510/062/2/w/560/2354510062_2_4_1.jpg?ts=1582132475076', '//static.zara.net/photos///2018/V/M/1/p/1111/000/000/2/w/560/1111000000_2_97_1.jpg?ts=1570204599702']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",다크 핑크,"[{'겉감': '100% 염소가죽'}, {'밑창': '100% 고무'}, {'안창': '100% 염소가죽'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
2,블랙과 다크 핑크 컬러 중 선택이 가능한 가죽 힐 샌들. 가죽 소재 외피. 발가락 고정을 위한 2개의 앞부분 파인 스트랩 디테일. 이중 처리된 미디엄 힐. 스퀘어 토 마감. 발목에서 끈으로 매듭을 지어 여밈. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 8cm,스퀘어 토 레더 힐 샌들,"99,000 원","['//static.zara.net/photos///2020/V/1/1/p/2356/510/040/2/w/560/2356510040_1_1_1.jpg?ts=1582111524352', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/2/w/560/2356510040_2_1_1.jpg?ts=1582111565327', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/2/w/560/2356510040_2_2_1.jpg?ts=1582111561736', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/2/w/560/2356510040_2_3_1.jpg?ts=1582111565221', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/2/w/560/2356510040_2_4_1.jpg?ts=1582111538544']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 염소가죽'}, {'밑창': '100% 고무'}, {'안창': '100% 염소가죽'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
3,블랙과 다크 핑크 컬러 중 선택이 가능한 가죽 힐 샌들. 가죽 소재 외피. 발가락 고정을 위한 2개의 앞부분 파인 스트랩 디테일. 이중 처리된 미디엄 힐. 스퀘어 토 마감. 발목에서 끈으로 매듭을 지어 여밈. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 8cm,스퀘어 토 레더 힐 샌들,"99,000 원","['//static.zara.net/photos///2020/V/1/1/p/2356/510/040/3/w/560/2356510040_1_1_1.jpg?ts=1582557525831', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/3/w/560/2356510040_2_1_1.jpg?ts=1582557531938', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/3/w/560/2356510040_2_2_1.jpg?ts=1582557539395', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/3/w/560/2356510040_2_3_1.jpg?ts=1582557525756', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/3/w/560/2356510040_2_4_1.jpg?ts=1582557525748', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/3/w/560/2356510040_2_15_1.jpg?ts=1582556152755', '//static.zara.net/photos///2020/V/1/1/p/2356/510/040/3/w/560/2356510040_2_16_1.jpg?ts=1582556165164']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 염소가죽'}, {'밑창': '100% 고무'}, {'안창': '100% 염소가죽'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
4,화이트 컬러 플랫 뮬. 퀼팅 처리된 디자인. 스퀘어 토 마감. 굽 높이: 1.2cm,퀼팅 플랫 뮬,"39,000 원","['//static.zara.net/photos///2020/V/1/1/p/3507/510/040/2/w/560/3507510040_2_1_1.jpg?ts=1579192186588', '//static.zara.net/photos///2020/V/1/1/p/3507/510/040/2/w/560/3507510040_1_1_1.jpg?ts=1579192164897', '//static.zara.net/photos///2020/V/1/1/p/3507/510/040/2/w/560/3507510040_2_2_1.jpg?ts=1579192179578', '//static.zara.net/photos///2020/V/1/1/p/3507/510/040/2/w/560/3507510040_2_3_1.jpg?ts=1579192172345', '//static.zara.net/photos///2020/V/1/1/p/3507/510/040/2/w/560/3507510040_2_4_1.jpg?ts=1579192180190']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% TPU'}, {'안창': '100% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
5,화이트 컬러 플랫 뮬. 퀼팅 처리된 디자인. 스퀘어 토 마감. 굽 높이: 1.2cm,퀼팅 플랫 뮬,"39,000 원","['//static.zara.net/photos///2020/V/1/1/p/3507/510/001/2/w/560/3507510001_2_1_1.jpg?ts=1579186773054', '//static.zara.net/photos///2020/V/1/1/p/3507/510/001/2/w/560/3507510001_1_1_1.jpg?ts=1579186772903', '//static.zara.net/photos///2020/V/1/1/p/3507/510/001/2/w/560/3507510001_2_2_1.jpg?ts=1579186786278', '//static.zara.net/photos///2020/V/1/1/p/3507/510/001/2/w/560/3507510001_2_3_1.jpg?ts=1579186806894', '//static.zara.net/photos///2020/V/1/1/p/3507/510/001/2/w/560/3507510001_2_4_1.jpg?ts=1579186784905']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",화이트,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% TPU'}, {'안창': '100% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
6,블랙 컬러의 가죽 로퍼. 가죽 소재 외피. 앞부분 맥시 링크 체인 디테일. 스퀘어 토 마감. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 3.2cmJOIN LIFE 컬렉션.Care for planet: 가장 지속 가능한 방법으로 처리된 가죽.이러한 제품은 재생 에너지와 물 소모를 감소하는 기술을 사용하는 Leather Working Group 인증을 받은 가죽으로 제조됩니다. ,스퀘어 토우 체인 레더 로퍼,"119,000 원","['//static.zara.net/photos///2020/V/1/1/p/1504/510/040/2/w/560/1504510040_1_1_1.jpg?ts=1582275042973', '//static.zara.net/photos///2020/V/1/1/p/1504/510/040/2/w/560/1504510040_2_1_1.jpg?ts=1581527212402', '//static.zara.net/photos///2020/V/1/1/p/1504/510/040/2/w/560/1504510040_2_2_1.jpg?ts=1581527194426', '//static.zara.net/photos///2020/V/1/1/p/1504/510/040/2/w/560/1504510040_2_3_1.jpg?ts=1581527216921', '//static.zara.net/photos///2020/V/1/1/p/1504/510/040/2/w/560/1504510040_2_4_1.jpg?ts=1581527214460', '//static.zara.net/photos///2018/V/M/1/p/1111/000/000/2/w/560/1111000000_2_97_1.jpg?ts=1570204599702']","['235 ', '240 ', '245 ', '255 ', '260 ', '265 ']",블랙,"[{'겉감': '100% 소가죽'}, {'안감': '85% 폴리우레탄, 15% 폴리에스터'}, {'밑창': '100% 열가소성 고무'}, {'안창': '100% 염소가죽'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
7,블랙 컬러 로퍼. 앞부분 맥시 링크 체인 디테일. 굽 높이: 2cm,체인 로퍼,"69,000 원","['//static.zara.net/photos///2020/V/1/1/p/1503/510/040/2/w/560/1503510040_2_1_1.jpg?ts=1577101569354', '//static.zara.net/photos///2020/V/1/1/p/1503/510/040/2/w/560/1503510040_1_1_1.jpg?ts=1577101483132', '//static.zara.net/photos///2020/V/1/1/p/1503/510/040/2/w/560/1503510040_2_2_1.jpg?ts=1577101619270', '//static.zara.net/photos///2020/V/1/1/p/1503/510/040/2/w/560/1503510040_2_3_1.jpg?ts=1577101569732', '//static.zara.net/photos///2020/V/1/1/p/1503/510/040/2/w/560/1503510040_2_4_1.jpg?ts=1577101541305', '//static.zara.net/photos///2020/V/1/1/p/1503/510/040/2/w/560/1503510040_2_55_1.jpg?ts=1580809336155']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 폴리우레탄'}, {'안감': '80% 폴리우레탄, 20% 폴리에스터'}, {'밑창': '100% 열가소성 고무'}, {'안창': '100% 염소가죽'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
8,블랙과 골드 컬러 중 선택이 가능한 힐 샌들. 앞부분 와이드 스트랩. 이중 처리된 청키힐. 케이지 스타일 앵클 스트랩에 달린 버클로 여밈. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 9cm,앵클 스트랩 청키힐 샌들,"49,000 원","['//static.zara.net/photos///2020/V/1/1/p/2308/511/091/3/w/560/2308511091_1_1_1.jpg?ts=1581069915769', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/3/w/560/2308511091_2_1_1.jpg?ts=1581069910787', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/3/w/560/2308511091_2_2_1.jpg?ts=1581069941576', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/3/w/560/2308511091_2_3_1.jpg?ts=1581069943302', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/3/w/560/2308511091_2_4_1.jpg?ts=1581069923181', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/3/w/560/2308511091_2_5_1.jpg?ts=1581069950517', '//static.zara.net/photos///2020/V/1/1/p/2308/510/091/3/w/560/2308510091_2_15_1.jpg?ts=1582127635990', '//static.zara.net/photos///2020/V/1/1/p/2308/510/091/3/w/560/2308510091_2_55_1.jpg?ts=1580810202253']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",골드,"[{'겉감': '100% 폴리에스터'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% 열가소성 고무'}, {'안창': '60% 폴리에스터, 40% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
9,블랙과 골드 컬러 중 선택이 가능한 힐 샌들. 앞부분 와이드 스트랩. 이중 처리된 청키힐. 케이지 스타일 앵클 스트랩에 달린 버클로 여밈. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 9cm,앵클 스트랩 청키힐 샌들,"49,000 원","['//static.zara.net/photos///2020/V/1/1/p/2308/511/091/2/w/560/2308511091_1_1_1.jpg?ts=1581069432855', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/2/w/560/2308511091_2_1_1.jpg?ts=1581069445605', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/2/w/560/2308511091_2_2_1.jpg?ts=1581069434596', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/2/w/560/2308511091_2_3_1.jpg?ts=1581069426579', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/2/w/560/2308511091_2_4_1.jpg?ts=1581069446974', '//static.zara.net/photos///2020/V/1/1/p/2308/511/091/2/w/560/2308511091_2_5_1.jpg?ts=1581069438867', '//static.zara.net/photos///2020/V/1/1/p/2308/510/091/2/w/560/2308510091_2_55_1.jpg?ts=1580809234343']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",골드,"[{'겉감': '100% 폴리에스터'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% 열가소성 고무'}, {'안창': '60% 폴리에스터, 40% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']"
