,description,name,price,img,size,color,composition,care,primary_thumbnail
0,베이지 컬러 토트백. 애니멀 패턴 디자인. 매듭 디테일이 매치된 양 옆면 맞주름 디자인. 손잡이 디테일. 길이 조절과 탈부착이 가능한 숄더 스트랩. 자석으로 여밈. 세로 x 가로 x 폭: 18.5 x 29.5 x 12.2cm,애니멀 프린트 미디엄 토트백,"39,000 원","['//static.zara.net/photos///2020/V/1/1/p/6005/510/102/3/w/560/6005510102_1_1_1.jpg?ts=1579874302383', '//static.zara.net/photos///2020/V/1/1/p/6005/510/102/3/w/560/6005510102_2_1_1.jpg?ts=1579871519654', '//static.zara.net/photos///2020/V/1/1/p/6005/510/102/3/w/560/6005510102_2_2_1.jpg?ts=1579871496878', '//static.zara.net/photos///2020/V/1/1/p/6005/510/102/3/w/560/6005510102_2_3_1.jpg?ts=1579871504641', '//static.zara.net/photos///2020/V/1/1/p/6005/510/102/3/w/560/6005510102_2_4_1.jpg?ts=1579871533988', '//static.zara.net/photos///2020/V/1/1/p/6005/510/102/3/w/560/6005510102_2_5_1.jpg?ts=1579871482689', '//static.zara.net/photos///2020/V/1/1/p/6005/510/102/3/w/560/6005510102_2_15_1.jpg?ts=1582127806838']",['M '],베이지,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리에스터'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/6005/510/102/3/cb-0-0-4176-3072-Center/w/1173/6005510102_2_15_1.jpg?ts=1582128656482
1,내추럴한 가죽 컬러의 쇼퍼백. 애니멀 패턴 디자인. 매듭 디테일이 매치된 양 옆면 맞주름 디자인. 상단 숄더 스트랩. 길이 조절과 탈부착이 가능한 보조 숄더 스트랩. 애니멀 프린트 내부 포켓. 자석으로 여밈. 세로 x 가로 x 폭: 28.5 x 45.5 x 14cm,애니멀 프린트 맥시 쇼퍼백,"49,000 원","['//static.zara.net/photos///2020/V/1/1/p/6004/510/105/2/w/560/6004510105_1_1_1.jpg?ts=1580380825619', '//static.zara.net/photos///2020/V/1/1/p/6004/510/105/2/w/560/6004510105_2_1_1.jpg?ts=1580203919324', '//static.zara.net/photos///2020/V/1/1/p/6004/510/105/2/w/560/6004510105_2_2_1.jpg?ts=1580203907924', '//static.zara.net/photos///2020/V/1/1/p/6004/510/105/2/w/560/6004510105_2_3_1.jpg?ts=1580203895284', '//static.zara.net/photos///2020/V/1/1/p/6004/510/105/2/w/560/6004510105_2_4_1.jpg?ts=1580203906221']",['M '],천연 가죽 컬러,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리에스터'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/6004/510/105/2/w/581/6004510105_1_1_1.jpg?ts=1580380825619
2,"컬러가 매치된 박스 스타일 크로스백. 다른 모양, 텍스처와 소재의 비즈로 장식된 하드 디자인. 하단 프린지 디테일. 체인 숄더 스트랩. 내부 안감 처리. 메탈 클래스프 여밈. 세로 x 가로 x 폭: 10.8 x 16.5 x 6cm",프린지 비즈 디테일 박스 크로스백,"79,000 원","['//static.zara.net/photos///2020/V/1/1/p/5654/510/202/3/w/560/5654510202_1_1_1.jpg?ts=1580473853269', '//static.zara.net/photos///2020/V/1/1/p/5654/510/202/3/w/560/5654510202_2_1_1.jpg?ts=1580473962154', '//static.zara.net/photos///2020/V/1/1/p/5654/510/202/3/w/560/5654510202_2_2_1.jpg?ts=1580473928018', '//static.zara.net/photos///2020/V/1/1/p/5654/510/202/3/w/560/5654510202_2_3_1.jpg?ts=1580473834416', '//static.zara.net/photos///2020/V/1/1/p/5654/510/202/3/w/560/5654510202_2_4_1.jpg?ts=1580473916856', '//static.zara.net/photos///2020/V/1/1/p/5654/510/202/3/w/560/5654510202_2_5_1.jpg?ts=1580473937685', '//static.zara.net/photos///2020/V/1/1/p/5654/510/202/3/w/560/5654510202_2_15_1.jpg?ts=1582127773962']",['M '],콤비,"[{'겉감': '주요소재100% 폴리에스터'}, {'안감': '부소재100% 종이'}, {'* 입체장식 제외': '디테일100% 비스코스'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/5654/510/202/3/w/581/5654510202_2_15_1.jpg?ts=1582127773962
3,화이트 컬러 버킷백 스타일 가방. 그레인 마감. 매듭 디테일 튜브 숄더 스트랩. 내부 안감 처리. 자석으로 여밈. 세로 x 가로 x 폭: 35 x 20 x 8cm,매듭 버킷백,"39,000 원","['//static.zara.net/photos///2020/V/1/1/p/6809/510/001/2/w/560/6809510001_1_1_1.jpg?ts=1582275982009', '//static.zara.net/photos///2020/V/1/1/p/6809/510/001/2/w/560/6809510001_2_1_1.jpg?ts=1582276079515', '//static.zara.net/photos///2020/V/1/1/p/6809/510/001/2/w/560/6809510001_2_2_1.jpg?ts=1582276069978', '//static.zara.net/photos///2020/V/1/1/p/6809/510/001/2/w/560/6809510001_2_3_1.jpg?ts=1582276087109', '//static.zara.net/photos///2020/V/1/1/p/6809/510/001/2/w/560/6809510001_2_4_1.jpg?ts=1582276087683']",['M '],화이트,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리에스터'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/6809/510/001/2/w/581/6809510001_1_1_1.jpg?ts=1582275982009
4,블랙과 핑크 컬러 중 선택이 가능한 미니 시티백. 컬러 배색된 스티치 디테일이 매치된 스트랩과 전체 디자인. 둥근 손잡이. 길이 조절이 가능한 숄더 스트랩. 포켓이 달린 내부 안감. 지퍼 여밈. 세로 x 가로 x 폭: 14.5 x 21 x 7cm,라운드 스트랩 미니 토트백,"39,000 원","['//static.zara.net/photos///2020/V/1/1/p/7608/510/050/2/w/560/7608510050_1_1_1.jpg?ts=1582016043497', '//static.zara.net/photos///2020/V/1/1/p/7608/510/050/2/w/560/7608510050_2_1_1.jpg?ts=1582016082646', '//static.zara.net/photos///2020/V/1/1/p/7608/510/050/2/w/560/7608510050_2_2_1.jpg?ts=1582016045280', '//static.zara.net/photos///2020/V/1/1/p/7608/510/050/2/w/560/7608510050_2_3_1.jpg?ts=1582016066303', '//static.zara.net/photos///2020/V/1/1/p/7608/510/050/2/w/560/7608510050_2_4_1.jpg?ts=1582016062443', '//static.zara.net/photos///2020/V/1/1/p/7608/510/050/2/w/560/7608510050_2_5_1.jpg?ts=1582016067356', '//static.zara.net/photos///2020/V/1/1/p/7608/510/050/3/w/560/7608510050_2_15_1.jpg?ts=1582279365095']",['M '],핑크,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리에스터'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/7608/510/050/3/cb-0-0-4176-3072-Center/w/1173/7608510050_2_15_1.jpg?ts=1582282136384
5,블랙과 핑크 컬러 중 선택이 가능한 미니 시티백. 컬러 배색된 스티치 디테일이 매치된 스트랩과 전체 디자인. 둥근 손잡이. 길이 조절이 가능한 숄더 스트랩. 포켓이 달린 내부 안감. 지퍼 여밈. 세로 x 가로 x 폭: 14.5 x 21 x 7cm,라운드 스트랩 미니 토트백,"39,000 원","['//static.zara.net/photos///2020/V/1/1/p/7607/510/040/2/w/560/7607510040_1_1_1.jpg?ts=1579612440470', '//static.zara.net/photos///2020/V/1/1/p/7607/510/040/2/w/560/7607510040_2_1_1.jpg?ts=1579609652461', '//static.zara.net/photos///2020/V/1/1/p/7607/510/040/2/w/560/7607510040_2_2_1.jpg?ts=1579609622806', '//static.zara.net/photos///2020/V/1/1/p/7607/510/040/2/w/560/7607510040_2_3_1.jpg?ts=1579609645024', '//static.zara.net/photos///2020/V/1/1/p/7607/510/040/2/w/560/7607510040_2_4_1.jpg?ts=1579609637951', '//static.zara.net/photos///2020/V/1/1/p/7607/510/040/2/w/560/7607510040_2_5_1.jpg?ts=1579609659821']",['M '],블랙,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리에스터'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/7607/510/040/2/w/581/7607510040_1_1_1.jpg?ts=1579612440470
6,블랙 컬러 휴대폰 케이스 크로스백. 구슬로 마감된 전체 디자인. 비즈 디테일 체인 숄더 스트랩. 플랩으로 여밈. 세로 x 가로 x 폭: 16 x 10 x 1cm,비즈 디테일 스마트폰 크로스백,"49,000 원","['//static.zara.net/photos///2020/V/1/1/p/6617/510/040/2/w/560/6617510040_1_1_1.jpg?ts=1582045325324', '//static.zara.net/photos///2020/V/1/1/p/6617/510/040/2/w/560/6617510040_2_1_1.jpg?ts=1582045420037', '//static.zara.net/photos///2020/V/1/1/p/6617/510/040/2/w/560/6617510040_2_2_1.jpg?ts=1582045364628', '//static.zara.net/photos///2020/V/1/1/p/6617/510/040/2/w/560/6617510040_2_3_1.jpg?ts=1582045363456', '//static.zara.net/photos///2020/V/1/1/p/6617/510/040/2/w/560/6617510040_2_4_1.jpg?ts=1582045374418', '//static.zara.net/photos///2020/V/1/1/p/6617/510/040/3/w/560/6617510040_2_15_1.jpg?ts=1582128009391']",['M '],블랙,"[{'겉감': '주소재100% 폴리메틸메타크릴레이트'}, {'* 입체장식 제외': '긴 손잡이100% 철'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/6617/510/040/3/cb-0-0-4176-3072-Center/w/1173/6617510040_2_15_1.jpg?ts=1582128637513
7,크림 컬러의 박스백 스타일 핸드백. 다양한 크기의 진주 장식이 달린 대리석 이펙트 디자인. 체인 숄더 스트랩. 내부 안감 처리. 자석으로 여밈. 세로 x 가로 x 폭: 11 x 16 x 5cm,펄 박스백-핸드백,"59,000 원","['//static.zara.net/photos///2020/V/1/1/p/5655/510/002/3/w/560/5655510002_1_1_1.jpg?ts=1574933533521', '//static.zara.net/photos///2020/V/1/1/p/5655/510/002/3/w/560/5655510002_2_1_1.jpg?ts=1574933505839', '//static.zara.net/photos///2020/V/1/1/p/5655/510/002/3/w/560/5655510002_2_2_1.jpg?ts=1574933601569', '//static.zara.net/photos///2020/V/1/1/p/5655/510/002/3/w/560/5655510002_2_3_1.jpg?ts=1574933567402', '//static.zara.net/photos///2020/V/1/1/p/5655/510/002/3/w/560/5655510002_2_4_1.jpg?ts=1574933588179', '//static.zara.net/photos///2020/V/1/1/p/5655/510/002/3/w/560/5655510002_2_5_1.jpg?ts=1574933581357', '//static.zara.net/photos///2020/V/1/1/p/5655/510/002/3/w/560/5655510002_2_15_1.jpg?ts=1582127771932']",['M '],크림,"[{'겉감': '주소재100% 폴리메틸메타크릴레이트'}, {'안감': '긴 손잡이100% 철'}, {'* 입체장식 제외': ''}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/5655/510/002/3/cb-0-0-4176-3072-Center/w/1173/5655510002_2_15_1.jpg?ts=1582128622767
8,화이트 컬러 버킷백 스타일 가방. 진주가 달린 손잡이와 전체 디자인. 진주가 달린 앞부분 플라워 아플리케 디테일. 세로 x 가로 x 폭: 19.5 x 17.5 x 1.3cm,펄 버킷백,"59,000 원","['//static.zara.net/photos///2019/I/1/1/p/7606/510/001/2/w/560/7606510001_2_1_1.jpg?ts=1573033526451', '//static.zara.net/photos///2019/I/1/1/p/7606/510/001/2/w/560/7606510001_1_1_1.jpg?ts=1573033526565', '//static.zara.net/photos///2019/I/1/1/p/7606/510/001/2/w/560/7606510001_2_2_1.jpg?ts=1573033548714', '//static.zara.net/photos///2019/I/1/1/p/7606/510/001/2/w/560/7606510001_2_3_1.jpg?ts=1573033535433', '//static.zara.net/photos///2019/I/1/1/p/7606/510/001/2/w/560/7606510001_2_4_1.jpg?ts=1573033541992']",['M '],화이트,"[{'겉감': '100% ABS 수지'}, {'겉감': '100% ABS 수지'}, {'caution': '* 입체장식 제외'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2019/I/1/1/p/7606/510/001/2/w/581/7606510001_1_1_1.jpg?ts=1573033526565
9,레드 컬러 가죽 크로스백. 패딩 마감 가죽 소재 디자인. 지퍼로 여미는 앞면 포켓. 풀탭 부분 테슬 디테일. 길이 조절과 탈부착이 가능한 숄더 스트랩. 지퍼로 여미는 포켓이 있는 내부 안감. 지퍼 여밈. 세로 x 가로 x 폭: 13.5 x 22 x 5.5cm,퀼티드 레더 크로스백,"99,000 원","['//static.zara.net/photos///2020/V/1/1/p/6397/510/020/4/w/560/6397510020_1_1_1.jpg?ts=1581940092659', '//static.zara.net/photos///2020/V/1/1/p/6397/510/020/4/w/560/6397510020_2_1_1.jpg?ts=1581940130928', '//static.zara.net/photos///2020/V/1/1/p/6397/510/020/4/w/560/6397510020_2_2_1.jpg?ts=1581940116445', '//static.zara.net/photos///2020/V/1/1/p/6397/510/020/4/w/560/6397510020_2_3_1.jpg?ts=1581940121323', '//static.zara.net/photos///2020/V/1/1/p/6397/510/020/4/w/560/6397510020_2_4_1.jpg?ts=1581940133797']",['M '],레드,"[{'겉감': '100% 양가죽'}, {'안감': '100% 폴리에스터'}, {'충전재': '100% 폴리우레탄'}]","['세탁 금지', '표백제 사용 금지', '다리미질 금지', '드라이 클리닝 금지', '건조기 사용 금지']",//static.zara.net/photos///2020/V/1/1/p/6397/510/020/4/w/1173/6397510020_9_1_1.jpg?ts=1582128313524
