,description,name,price,img,size,color,composition,care,primary_thumbnail
0,커프스 마감 벌룬 스타일 긴소매 라운드넥 스웨터. 모델 신장: 177cm,퍼프 슬리브 니트 스웨터,"49,000 원","['//static.zara.net/photos///2020/V/0/1/p/2488/119/704/2/w/560/2488119704_1_1_1.jpg?ts=1581347307709', '//static.zara.net/photos///2020/V/0/1/p/2488/119/704/2/w/560/2488119704_2_1_1.jpg?ts=1581347169679', '//static.zara.net/photos///2020/V/0/1/p/2488/119/704/2/w/560/2488119704_2_2_1.jpg?ts=1581347242837', '//static.zara.net/photos///2020/V/0/1/p/2488/119/704/2/w/560/2488119704_2_3_1.jpg?ts=1581347157534', '//static.zara.net/photos///2020/V/0/1/p/2488/119/704/2/w/560/2488119704_2_4_1.jpg?ts=1581347202024', '//static.zara.net/photos///2020/V/0/1/p/2488/119/704/2/w/560/2488119704_2_5_1.jpg?ts=1581347192739', '//static.zara.net/photos///2020/V/0/1/p/2488/119/704/2/w/560/2488119704_2_6_1.jpg?ts=1581347148248', '//static.zara.net/photos///2020/V/0/1/p/2488/119/704/2/w/560/2488119704_6_1_1.jpg?ts=1582210998089']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",카멜,"[{'겉감': '55% 비스코스, 45% 나일론'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '저온으로 건조기 사용 가능']",https://static.zara.net/stdstatic/1.144.0-b.7/images/transparent-background.png
1,커프스 마감 벌룬 스타일 긴소매 라운드넥 스웨터. 모델 신장: 177cm,퍼프 슬리브 니트 스웨터,"49,000 원","['//static.zara.net/photos///2020/V/0/1/p/2488/119/712/2/w/560/2488119712_1_1_1.jpg?ts=1581347304678', '//static.zara.net/photos///2020/V/0/1/p/2488/119/712/2/w/560/2488119712_2_1_1.jpg?ts=1581347212194', '//static.zara.net/photos///2020/V/0/1/p/2488/119/712/2/w/560/2488119712_2_2_1.jpg?ts=1581347216506', '//static.zara.net/photos///2020/V/0/1/p/2488/119/712/2/w/560/2488119712_2_3_1.jpg?ts=1581347226247', '//static.zara.net/photos///2020/V/0/1/p/2488/119/712/2/w/560/2488119712_2_4_1.jpg?ts=1581347194656', '//static.zara.net/photos///2020/V/0/1/p/2488/119/712/2/w/560/2488119712_2_5_1.jpg?ts=1581347221301', '//static.zara.net/photos///2020/V/0/1/p/2488/119/712/2/w/560/2488119712_6_1_1.jpg?ts=1582210998089']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",크림,"[{'겉감': '55% 비스코스, 45% 나일론'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '저온으로 건조기 사용 가능']",//static.zara.net/photos///2020/V/0/1/p/2488/119/712/2/w/581/2488119712_1_1_1.jpg?ts=1581347304678
2,반소매 라운드넥 니트 스웨터. 리브드 마감. 뒷면 메탈 스냅 버튼으로 여밈. 모델 신장: 177cm,쇼트 슬리브 베이직 스웨터,"35,000 원","['//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_1_1_1.jpg?ts=1582118835370', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_1_1.jpg?ts=1582108608902', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_2_1.jpg?ts=1582108613902', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_3_1.jpg?ts=1582108616061', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_4_1.jpg?ts=1582108609238', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_5_1.jpg?ts=1582108623862', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_6_1.jpg?ts=1580906523367', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_6_1_1.jpg?ts=1581684494441']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ', 'XXL (KR 99) ']",크림,"[{'겉감': '83% 비스코스, 15% 나일론, 2% 엘라스탄'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지', '뒤집어서 다리십시오']",//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/cb-0-0-4176-3072-Center/w/1173/5646125733_2_1_1.jpg?ts=1582118289219
3,페이크 금속 버튼이 달린 긴소매 라운드넥 니트 스웨터. 리브드 마감. 모델 신장: 177cm,롱 슬리브 베이직 스웨터,"39,000 원","['//static.zara.net/photos///2020/V/0/1/p/5646/121/733/7/w/560/5646121733_1_1_1.jpg?ts=1582113691655', '//static.zara.net/photos///2020/V/0/1/p/5646/121/733/7/w/560/5646121733_2_1_1.jpg?ts=1582113710731', '//static.zara.net/photos///2020/V/0/1/p/5646/121/733/7/w/560/5646121733_2_2_1.jpg?ts=1582136652215', '//static.zara.net/photos///2020/V/0/1/p/5646/121/733/7/w/560/5646121733_2_3_1.jpg?ts=1582113719524', '//static.zara.net/photos///2020/V/0/1/p/5646/121/733/7/w/560/5646121733_2_4_1.jpg?ts=1582113719530', '//static.zara.net/photos///2020/V/0/1/p/5646/121/733/7/w/560/5646121733_2_5_1.jpg?ts=1582113710637', '//static.zara.net/photos///2020/V/0/1/p/5646/121/733/7/w/560/5646121733_6_1_1.jpg?ts=1582194751872']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ', 'XXL (KR 99) ']",크림,[],[],//static.zara.net/photos///2020/V/0/1/p/5646/121/733/7/w/581/5646121733_2_2_1.jpg?ts=1582136652215
4,반소매 라운드넥 니트 스웨터. 리브드 마감. 뒷면 메탈 스냅 버튼으로 여밈. 모델 신장: 177cm,쇼트 슬리브 베이직 스웨터,"35,000 원","['//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_1_1_1.jpg?ts=1582118835370', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_1_1.jpg?ts=1582108608902', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_2_1.jpg?ts=1582108613902', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_3_1.jpg?ts=1582108616061', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_4_1.jpg?ts=1582108609238', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_5_1.jpg?ts=1582108623862', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_2_6_1.jpg?ts=1580906523367', '//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/560/5646125733_6_1_1.jpg?ts=1581684494441']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ', 'XXL (KR 99) ']",크림,"[{'겉감': '83% 비스코스, 15% 나일론, 2% 엘라스탄'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지', '뒤집어서 다리십시오']",//static.zara.net/photos///2020/V/0/1/p/5646/125/733/2/w/581/5646125733_1_1_1.jpg?ts=1582118835370
5,페이크 금속 버튼이 달린 긴소매 라운드넥 니트 스웨터. 리브드 마감. 모델 신장: 177cm,롱 슬리브 베이직 스웨터,"39,000 원","['//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/w/560/5646121676_1_1_1.jpg?ts=1582118530604', '//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/w/560/5646121676_2_1_1.jpg?ts=1582108542618', '//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/w/560/5646121676_2_2_1.jpg?ts=1582108554439', '//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/w/560/5646121676_2_3_1.jpg?ts=1582108547559', '//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/w/560/5646121676_2_4_1.jpg?ts=1582108560806', '//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/w/560/5646121676_2_5_1.jpg?ts=1582108569286', '//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/w/560/5646121676_2_6_1.jpg?ts=1582108574057', '//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/w/560/5646121676_6_1_1.jpg?ts=1582194751872']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ', 'XXL (KR 99) ']",로즈 가루,[],[],//static.zara.net/photos///2020/V/0/1/p/5646/121/676/2/cb-0-0-4176-3072-Center/w/1173/5646121676_2_5_1.jpg?ts=1582118267260
6,반소매 라운드넥 니트 스웨터. 리브드 마감. 뒷면 메탈 스냅 버튼으로 여밈. 모델 신장: 177cm,쇼트 슬리브 베이직 스웨터,"35,000 원","['//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/560/5646125676_1_1_1.jpg?ts=1582118531017', '//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/560/5646125676_2_1_1.jpg?ts=1582108606445', '//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/560/5646125676_2_2_1.jpg?ts=1582108596272', '//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/560/5646125676_2_3_1.jpg?ts=1582108604671', '//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/560/5646125676_2_4_1.jpg?ts=1582108599425', '//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/560/5646125676_2_5_1.jpg?ts=1582108601786', '//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/560/5646125676_2_6_1.jpg?ts=1582108614627', '//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/560/5646125676_6_1_1.jpg?ts=1581684494441']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ', 'XXL (KR 99) ']",로즈 가루,"[{'겉감': '83% 비스코스, 15% 나일론, 2% 엘라스탄'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지', '뒤집어서 다리십시오']",//static.zara.net/photos///2020/V/0/1/p/5646/125/676/2/w/581/5646125676_1_1_1.jpg?ts=1582118531017
7,반소매 라운드넥 니트 스웨터. 리브드 마감. 뒷면 메탈 스냅 버튼으로 여밈. 모델 신장: 177cm,쇼트 슬리브 베이직 스웨터,"35,000 원","['//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_1_1_1.jpg?ts=1582118714492', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_1_1.jpg?ts=1582108578765', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_2_1.jpg?ts=1582108588493', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_3_1.jpg?ts=1582108581146', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_4_1.jpg?ts=1582108587569', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_5_1.jpg?ts=1582108594143', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_6_1.jpg?ts=1582108600130', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_6_1_1.jpg?ts=1581684494441']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ', 'XXL (KR 99) ']",라이트 그린,"[{'겉감': '83% 비스코스, 15% 나일론, 2% 엘라스탄'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지', '뒤집어서 다리십시오']",//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/cb-0-0-4176-3072-Center/w/1173/5646125526_2_5_1.jpg?ts=1582118275540
8,페이크 금속 버튼이 달린 긴소매 라운드넥 니트 스웨터. 리브드 마감. 모델 신장: 177cm,롱 슬리브 베이직 스웨터,"39,000 원","['//static.zara.net/photos///2020/V/0/1/p/5646/121/526/3/w/560/5646121526_1_1_1.jpg?ts=1582118714896', '//static.zara.net/photos///2020/V/0/1/p/5646/121/526/3/w/560/5646121526_2_1_1.jpg?ts=1582113971133', '//static.zara.net/photos///2020/V/0/1/p/5646/121/526/3/w/560/5646121526_2_2_1.jpg?ts=1582113971276', '//static.zara.net/photos///2020/V/0/1/p/5646/121/526/3/w/560/5646121526_2_3_1.jpg?ts=1582113970933', '//static.zara.net/photos///2020/V/0/1/p/5646/121/526/3/w/560/5646121526_2_4_1.jpg?ts=1582113978716', '//static.zara.net/photos///2020/V/0/1/p/5646/121/526/3/w/560/5646121526_2_5_1.jpg?ts=1582113979311', '//static.zara.net/photos///2020/V/0/1/p/5646/121/526/3/w/560/5646121526_6_1_1.jpg?ts=1582194751872']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ', 'XXL (KR 99) ']",라이트 그린,[],[],//static.zara.net/photos///2020/V/0/1/p/5646/121/526/3/w/581/5646121526_1_1_1.jpg?ts=1582118714896
9,반소매 라운드넥 니트 스웨터. 리브드 마감. 뒷면 메탈 스냅 버튼으로 여밈. 모델 신장: 177cm,쇼트 슬리브 베이직 스웨터,"35,000 원","['//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_1_1_1.jpg?ts=1582118714492', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_1_1.jpg?ts=1582108578765', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_2_1.jpg?ts=1582108588493', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_3_1.jpg?ts=1582108581146', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_4_1.jpg?ts=1582108587569', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_5_1.jpg?ts=1582108594143', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_2_6_1.jpg?ts=1582108600130', '//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/560/5646125526_6_1_1.jpg?ts=1581684494441']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ', 'XXL (KR 99) ']",라이트 그린,"[{'겉감': '83% 비스코스, 15% 나일론, 2% 엘라스탄'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지', '뒤집어서 다리십시오']",//static.zara.net/photos///2020/V/0/1/p/5646/125/526/2/w/581/5646125526_1_1_1.jpg?ts=1582118714492
