,description,name,price,img,size,color,composition,care,primary_thumbnail
0,블랙 컬러의 가죽 플랫 뮬. 부드러운 가죽 소재의 외피 디자인. 스퀘어 토 마감. V컷 디자인. 굽 높이: 2cmJOIN LIFECare for fiber & planet: 재활용 플라스틱병을 이용하여 제조된 25% 이상의 재생 폴리에스터와 Leather Working Group 인증을 받은 가장 지속 가능한 방법으로 처리된 가죽.,스퀘어 토 소프트 레더 플랫 뮬,"59,000 원","['//static.zara.net/photos///2020/V/1/1/p/3500/510/040/3/w/560/3500510040_1_1_1.jpg?ts=1581681133312', '//static.zara.net/photos///2020/V/1/1/p/3500/510/040/3/w/560/3500510040_2_1_1.jpg?ts=1581681236473', '//static.zara.net/photos///2020/V/1/1/p/3500/510/040/3/w/560/3500510040_2_2_1.jpg?ts=1581681294365', '//static.zara.net/photos///2020/V/1/1/p/3500/510/040/3/w/560/3500510040_2_3_1.jpg?ts=1581681191124', '//static.zara.net/photos///2020/V/1/1/p/3500/510/040/3/w/560/3500510040_2_4_1.jpg?ts=1581681280840', '//static.zara.net/photos///2020/V/1/1/p/3500/510/040/3/w/560/3500510040_2_15_1.jpg?ts=1582100830722', '//static.zara.net/photos///2018/V/M/1/p/1111/000/000/2/w/560/1111000000_2_41_1.jpg?ts=1548282431436']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 소가죽'}, {'밑창': '100% TPU'}, {'안창': '100% 폴리에스터'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/3500/510/040/3/w/581/3500510040_2_15_1.jpg?ts=1582100830722
1,블랙과 크림 컬러 중 선택이 가능한 가죽 소재 플랫 샌들. 가죽 소재의 퀼팅 마감 디자인. 앞부분 이중 크로스 와이드 스트랩. 스퀘어 토 마감. 스퀘어 힐. 밑창 높이: 1.5cm,패딩 레더 플랫 샌들,"59,000 원","['//static.zara.net/photos///2020/V/1/1/p/1605/510/002/4/w/560/1605510002_1_1_1.jpg?ts=1578911373517', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/4/w/560/1605510002_2_1_1.jpg?ts=1578911480848', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/4/w/560/1605510002_2_2_1.jpg?ts=1578911401921', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/4/w/560/1605510002_2_3_1.jpg?ts=1578911474145', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/4/w/560/1605510002_2_4_1.jpg?ts=1578911358574', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/4/w/560/1605510002_2_15_1.jpg?ts=1582557431887']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",크림,"[{'겉감': '100% 소가죽'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% TPU'}, {'안창': '100% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/1605/510/002/4/cb-0-0-4176-3072-Center/w/1173/1605510002_2_15_1.jpg?ts=1582557445888
2,블랙과 크림 컬러 중 선택이 가능한 가죽 소재 플랫 샌들. 가죽 소재의 퀼팅 마감 디자인. 앞부분 이중 크로스 와이드 스트랩. 스퀘어 토 마감. 스퀘어 힐. 밑창 높이: 1.5cm,패딩 레더 플랫 샌들,"59,000 원","['//static.zara.net/photos///2020/V/1/1/p/1604/510/040/2/w/560/1604510040_2_1_1.jpg?ts=1578936254466', '//static.zara.net/photos///2020/V/1/1/p/1604/510/040/2/w/560/1604510040_1_1_1.jpg?ts=1578936290495', '//static.zara.net/photos///2020/V/1/1/p/1604/510/040/2/w/560/1604510040_2_2_1.jpg?ts=1578936197867', '//static.zara.net/photos///2020/V/1/1/p/1604/510/040/2/w/560/1604510040_2_3_1.jpg?ts=1578936319253', '//static.zara.net/photos///2020/V/1/1/p/1604/510/040/2/w/560/1604510040_2_4_1.jpg?ts=1578936297601', '//static.zara.net/photos///2020/V/1/1/p/1604/510/040/2/w/560/1604510040_2_5_1.jpg?ts=1578936311950']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 소가죽'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% TPU'}, {'안창': '100% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/1604/510/040/2/w/581/1604510040_1_1_1.jpg?ts=1578936290495
3,바닐라 옐로우 컬러 가죽 플랫 샌들. 발가락 고정 스트랩이 있는 가죽 외피 디자인. 스퀘어 토우와 뒤꿈치 디자인. 밑창 높이: 2cmJOIN LIFE 컬렉션.Care for planet: 가장 지속 가능한 방법으로 처리된 가죽.이러한 제품은 재생 에너지와 물 소모를 감소하는 기술을 사용하는 Leather Working Group 인증을 받은 가죽으로 제조됩니다. ,와이드 스트랩 레더 플랫 샌들,"79,000 원","['//static.zara.net/photos///2020/V/1/1/p/2634/510/126/3/w/560/2634510126_1_1_1.jpg?ts=1582276312482', '//static.zara.net/photos///2020/V/1/1/p/2634/510/126/3/w/560/2634510126_2_1_1.jpg?ts=1582276327307', '//static.zara.net/photos///2020/V/1/1/p/2634/510/126/3/w/560/2634510126_2_2_1.jpg?ts=1582276336346', '//static.zara.net/photos///2020/V/1/1/p/2634/510/126/3/w/560/2634510126_2_3_1.jpg?ts=1582276335664', '//static.zara.net/photos///2020/V/1/1/p/2634/510/126/3/w/560/2634510126_2_4_1.jpg?ts=1582276307736', '//static.zara.net/photos///2020/V/1/1/p/2634/510/126/3/w/560/2634510126_2_15_1.jpg?ts=1582556155579', '//static.zara.net/photos///2018/V/M/1/p/1111/000/000/2/w/560/1111000000_2_97_1.jpg?ts=1570204599702']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",바닐라,"[{'겉감': '100% 염소가죽'}, {'안감': '100% 염소가죽'}, {'밑창': '100% 스타이렌 뷰타다이엔 고무'}, {'안창': '100% 염소가죽'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/2634/510/126/3/w/581/2634510126_2_15_1.jpg?ts=1582556155579
4,블랙 컬러의 가죽 힐 슈즈. 앞부분에 T-스트랩이 매치된 가죽 소재 외피 디자인. 스틸레토 힐. 스퀘어 토 마감. 체인 디테일이 매치된 앵클 스트랩 버클로 여밈. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 8.7cm,체인 T-스트랩 레더 힐 슈즈,"99,000 원","['//static.zara.net/photos///2020/V/1/1/p/1221/510/040/3/w/560/1221510040_1_1_1.jpg?ts=1582014970595', '//static.zara.net/photos///2020/V/1/1/p/1221/510/040/3/w/560/1221510040_2_1_1.jpg?ts=1582015001333', '//static.zara.net/photos///2020/V/1/1/p/1221/510/040/3/w/560/1221510040_2_2_1.jpg?ts=1582014992043', '//static.zara.net/photos///2020/V/1/1/p/1221/510/040/3/w/560/1221510040_2_3_1.jpg?ts=1582014984748', '//static.zara.net/photos///2020/V/1/1/p/1221/510/040/3/w/560/1221510040_2_4_1.jpg?ts=1582014994916', '//static.zara.net/photos///2020/V/1/1/p/1221/510/040/3/w/560/1221510040_2_15_1.jpg?ts=1582127635240']","['235 ', '240 ', '245 ', '255 ', '260 ', '265 ']",블랙,"[{'겉감': '100% 양가죽'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% 열가소성 고무'}, {'안창': '90% 양가죽, 10% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/1221/510/040/3/cb-0-0-4176-3072-Center/w/1173/1221510040_2_15_1.jpg?ts=1582128487433
5,블랙 컬러의 슬링백 힐 슈즈. 미디엄 힐. 포인티드 토. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 6cm,미디엄 힐 슬링백 슈즈,"49,000 원","['//static.zara.net/photos///2020/V/1/1/p/2243/510/040/2/w/560/2243510040_1_1_1.jpg?ts=1581927014546', '//static.zara.net/photos///2020/V/1/1/p/2243/510/040/2/w/560/2243510040_2_1_1.jpg?ts=1581927011163', '//static.zara.net/photos///2020/V/1/1/p/2243/510/040/2/w/560/2243510040_2_2_1.jpg?ts=1581927011261', '//static.zara.net/photos///2020/V/1/1/p/2243/510/040/2/w/560/2243510040_2_3_1.jpg?ts=1581927011709', '//static.zara.net/photos///2020/V/1/1/p/2243/510/040/2/w/560/2243510040_2_4_1.jpg?ts=1581927011197']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 폴리에스터'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% TPU'}, {'안창': '92% 폴리우레탄, 8% 폴리에스터'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/2243/510/040/2/w/581/2243510040_1_1_1.jpg?ts=1581927014546
6,"블랙 컬러의 힐 뮬. 메쉬 소재의 외피 디자인. 셔링 처리된 앞부분 와이드 스트랩. 투명한 퍼스펙스 소재의 스퀘어 스틸레토 힐. 스퀘어 토 마감. 굽 높이: 8cmJOIN LIFE 컬렉션.Care for fiber: 25% 이상 재생 폴리에스터 사용.재생 폴리에스터는 재활용 플라스틱병을 이용하여 제조되어 적은 양의 물, 에너지 및 천연 자원이 소모됩니다. ",메쉬 힐 뮬,"59,000 원","['//static.zara.net/photos///2020/V/1/1/p/3303/510/040/3/w/560/3303510040_1_1_1.jpg?ts=1580462051805', '//static.zara.net/photos///2020/V/1/1/p/3303/510/040/3/w/560/3303510040_2_1_1.jpg?ts=1580462118783', '//static.zara.net/photos///2020/V/1/1/p/3303/510/040/3/w/560/3303510040_2_2_1.jpg?ts=1580462163698', '//static.zara.net/photos///2020/V/1/1/p/3303/510/040/3/w/560/3303510040_2_3_1.jpg?ts=1580462059400', '//static.zara.net/photos///2020/V/1/1/p/3303/510/040/3/w/560/3303510040_2_4_1.jpg?ts=1580462044009', '//static.zara.net/photos///2020/V/1/1/p/3303/510/040/3/w/560/3303510040_2_15_1.jpg?ts=1582127636340', '//static.zara.net/photos///2018/V/M/1/p/1111/000/000/2/w/560/1111000000_2_59_1.jpg?ts=1548282475310']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 폴리에스터'}, {'안감': '100% 폴리에스터'}, {'밑창': '100% TPU'}, {'안창': '70% 폴리우레탄, 30% 폴리에스터'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/3303/510/040/3/cb-0-0-4176-3072-Center/w/1173/3303510040_2_15_1.jpg?ts=1582128516435
7,블랙과 크림 컬러 중 선택이 가능한 가죽 소재 플랫 샌들. 가죽 소재의 퀼팅 마감 디자인. 앞부분 이중 크로스 와이드 스트랩. 스퀘어 토 마감. 스퀘어 힐. 밑창 높이: 1.5cm,패딩 레더 플랫 샌들,"59,000 원","['//static.zara.net/photos///2020/V/1/1/p/1605/510/002/3/w/560/1605510002_1_1_1.jpg?ts=1578911387062', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/3/w/560/1605510002_2_1_1.jpg?ts=1578911416442', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/3/w/560/1605510002_2_2_1.jpg?ts=1578911416895', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/3/w/560/1605510002_2_3_1.jpg?ts=1578911430685', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/3/w/560/1605510002_2_4_1.jpg?ts=1578911437917', '//static.zara.net/photos///2020/V/1/1/p/1605/510/002/3/w/560/1605510002_2_15_1.jpg?ts=1582556162907']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",크림,"[{'겉감': '100% 소가죽'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% TPU'}, {'안창': '100% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/1605/510/002/3/cb-0-0-4176-3072-Center/w/1173/1605510002_2_15_1.jpg?ts=1582129085135
8,블랙과 내추럴 컬러 중 선택이 가능한 슬링백 플랫슈즈. 컬러가 매치된 신축성 있는 뒤꿈치 스트랩. 포인티드 토. 스퀘어 힐. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 0.8cm,슬링백 플랫슈즈,"45,000 원","['//static.zara.net/photos///2020/V/1/1/p/2500/510/111/2/w/560/2500510111_1_1_1.jpg?ts=1581354755728', '//static.zara.net/photos///2020/V/1/1/p/2500/510/111/2/w/560/2500510111_2_1_1.jpg?ts=1581354764649', '//static.zara.net/photos///2020/V/1/1/p/2500/510/111/2/w/560/2500510111_2_2_1.jpg?ts=1581354772550', '//static.zara.net/photos///2020/V/1/1/p/2500/510/111/2/w/560/2500510111_2_3_1.jpg?ts=1581354770223', '//static.zara.net/photos///2020/V/1/1/p/2500/510/111/2/w/560/2500510111_2_4_1.jpg?ts=1581354780629']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",자연색,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% TPU'}, {'안창': '60% TPU, 40% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/2500/510/111/2/w/581/2500510111_1_1_1.jpg?ts=1581354755728
9,블랙과 내추럴 컬러 중 선택이 가능한 슬링백 플랫슈즈. 컬러가 매치된 신축성 있는 뒤꿈치 스트랩. 포인티드 토. 스퀘어 힐. AIRFIT®. 더욱 편안한 착용감을 제공하기 위해 디자인된 라텍스 소재의 유연한 기능성 스펀지 안창. 굽 높이: 0.8cm,슬링백 플랫슈즈,"45,000 원","['//static.zara.net/photos///2020/V/1/1/p/2502/510/040/3/w/560/2502510040_1_1_1.jpg?ts=1581351833322', '//static.zara.net/photos///2020/V/1/1/p/2502/510/040/3/w/560/2502510040_2_1_1.jpg?ts=1581351894415', '//static.zara.net/photos///2020/V/1/1/p/2502/510/040/3/w/560/2502510040_2_2_1.jpg?ts=1581351886302', '//static.zara.net/photos///2020/V/1/1/p/2502/510/040/3/w/560/2502510040_2_3_1.jpg?ts=1581351881696', '//static.zara.net/photos///2020/V/1/1/p/2502/510/040/3/w/560/2502510040_2_4_1.jpg?ts=1581351882677', '//static.zara.net/photos///2020/V/1/1/p/2500/510/040/3/w/560/2500510040_2_15_1.jpg?ts=1582129209103']","['230 ', '235 ', '240 ', '245 ', '255 ', '260 ', '265 ', '275 ']",블랙,"[{'겉감': '100% 폴리우레탄'}, {'안감': '100% 폴리우레탄'}, {'밑창': '100% TPU'}, {'안창': '60% TPU, 40% 폴리우레탄'}]","['물에 담그지 말기', '가죽/에나멜/앤팈. 마른 면소재 천으로 손질하십시오.', '스웨이드/누벅/내피. 부드러운 솔이나 빳빳한 스폰지로 손질하십시오. ', '가죽. 무색 크림 또는 제품색상에 맞는 크림으로 손질하실 수 있습니다.', '스웨이드/누벅/내피. 전용 스프레이나 방수용 스프레이로 관리하실 수 있습니다.']",//static.zara.net/photos///2020/V/1/1/p/2500/510/040/3/w/581/2500510040_2_15_1.jpg?ts=1582129209103
